dialect,wer,cer,bleu
AG,87.57575757575758,51.74418604651163,5.254298059921617
BE,92.33333333333333,61.096605744125334,2.944271858485812
GL,85.71428571428571,45.97701149425287,2.3595365419339505
LU,100.0,23.076923076923077,0.0
SG,81.95959595959596,38.529411764705884,10.804210855923326
TG,61.53846153846154,21.839080459770116,6.942047568179753
ZG,63.63636363636363,59.523809523809526,20.126703311713307
ZH,77.77777777777779,46.808510638297875,11.302483450506978
OVERALL,83.92071817071817,47.86196549137284,7.392052276257924
