dialect,wer,cer,bleu
AG,34.15511186344521,20.49786075457021,52.5827657073441
BE,33.110983160244245,17.448231694300148,50.02352308517073
BL,31.61877731322176,14.427860696517413,46.73540848690663
FR,38.420706277849135,20.108695652173914,39.01752475848714
GL,9.166666666666666,1.0638297872340425,88.27756844701798
GR,18.76230251230251,10.643015521064301,61.467789736120444
LU,32.0988270988271,14.148471615720522,51.78114243792339
NW,25.0,10.256410256410255,66.87403049764218
SG,29.324669583290266,15.709698137443803,50.96626506776693
SH,33.997252747252745,14.909090909090908,41.971718388920564
SO,33.02443698277032,17.18565234528971,52.97412105598259
SZ,36.14623031289698,16.826003824091778,52.80236172411837
TG,31.755266955266947,14.147228112693123,49.61017473961585
UR,30.476301476301476,11.318795430944965,53.49554745030387
VS,30.17482517482518,13.941480206540447,54.11485115204756
ZG,33.90817515817516,18.097447795823665,45.95506672842886
ZH,27.54640999432666,12.79319781078968,53.96742535184834
OVERALL,31.19638826475446,15.897161579352078,51.47237393096262
