dialect,wer,cer,bleu
AG,25.413308399419506,12.64099572150914,58.65924239335542
BE,29.569319569319568,14.879385184658082,54.43601269585941
BL,25.16851461295906,12.699659596753076,57.07888154619324
FR,30.619380619380625,17.02898550724638,40.36345255552006
GL,2.0833333333333335,0.7978723404255319,97.34827358756195
GR,15.468651718651719,7.6496674057649665,63.96030355514406
LU,27.45296642355466,12.168850072780204,56.74925270963575
NW,25.0,10.256410256410255,66.87403049764218
SG,26.523376049238117,14.592164418754013,56.47241521484752
SH,33.67673992673993,14.909090909090908,44.04481044203087
SO,31.81048118548118,15.924320063066613,56.996886580463766
SZ,20.929780096446763,10.325047801147228,60.694329920385435
TG,26.025258075258076,12.390184792487124,56.90375398172107
UR,28.08099308099309,9.241952232606438,59.0351686083909
VS,27.023074964251435,12.650602409638553,56.50041538821147
ZG,42.74431124431125,19.953596287703014,44.042708282177415
ZH,22.826679493346173,10.779906176700548,60.595019140136465
OVERALL,26.929403157676678,13.29276854668851,56.92527730860742
