dialect,wer,cer,bleu
AG,66.68087056975945,28.393621159082073,17.57006670179969
BE,79.94725854331763,36.71102255746104,11.149704502168504
BL,64.36799311799311,27.755957056821156,19.444867698562614
FR,65.9675641818499,35.688405797101446,12.80104737941325
GL,54.72222222222223,11.96808510638298,35.56688580195037
GR,59.71551596551597,25.942350332594234,21.01335484921721
LU,68.16320389849801,29.781659388646286,16.97468008833683
NW,50.0,12.82051282051282,39.76353643835252
SG,67.64601299084057,29.107257546563904,17.789680144426864
SH,56.34157509157509,24.727272727272727,16.750944160040266
SO,71.13452134285467,31.888056759952697,18.56755506722415
SZ,69.9691666358333,34.22562141491396,15.753650591668405
TG,66.15456765456766,26.7494698576189,17.52693794112609
UR,80.1056721056721,36.24091381100727,10.106395561035738
VS,61.34463575640046,28.74354561101549,17.296647591049748
ZG,77.70282495282495,32.76102088167053,15.268622301905623
ZH,65.03818712152048,27.326035965598123,18.472606682235924
OVERALL,70.04790272171496,30.59576744341547,16.28336336154841
