dialect,wer,cer,bleu
AG,69.2149131732465,26.830816093412867,16.98681290121289
BE,80.25054720867529,34.931125643523025,11.359527512865705
BL,68.71246037912704,25.506280440912587,16.187209901220083
FR,68.24029145457718,32.09219858156028,13.15117416462268
GL,52.083333333333336,10.335917312661499,20.593575978252066
GR,66.8950493950494,25.272331154684096,11.656430987581452
LU,75.9496277143336,28.68525896414343,14.960827095211885
NW,75.0,15.0,17.965205598154213
SG,72.47581202322581,28.9973581582589,14.146596488662997
SH,57.82967032967033,24.647887323943664,16.048361371160425
SO,72.94729961396628,30.525502318392583,19.106469449429664
SZ,69.99053415720083,31.04089219330855,14.838041533045157
TG,68.15853035853036,25.986354197567486,17.368515478075608
UR,72.72634772634773,30.628803245436103,11.688994590811856
VS,69.13317075081781,29.040404040404038,16.475612584185647
ZG,81.3548951048951,31.5,12.201792440334053
ZH,65.79574746241413,26.12033394108051,17.49089672951617
OVERALL,72.42381090005655,29.241268698242283,14.931977252073363
