dialect,wer,cer,bleu,chrf,semdist
AG,21.139705882352942,8.98483080513419,65.20398264506271,87.34325222442776,0.054892443120479584
BE,22.498755599800894,10.552906852629333,61.90061672236062,86.12481494493362,0.053327018697860794
BL,17.216117216117215,7.122283320240901,70.2989382048481,91.17481591855548,0.04805333967562075
FR,22.22222222222222,10.144927536231885,55.61743912329058,85.78400576453328,0.03229858194078718
GL,8.333333333333332,4.25531914893617,85.22139235597649,92.8170289608892,0.009749402602513632
GR,12.096774193548388,5.875831485587583,74.2002680242043,90.61650850516524,0.023828019698460896
LU,19.542619542619544,8.442503639010189,67.43743392921887,88.58144191394163,0.06053959505230773
NW,0.0,0.0,100.00000000000004,100.0,1.1920928955078125e-07
SG,20.143240823634738,9.299935773924213,64.4547969169436,87.63894535413773,0.039626481974947045
SH,24.444444444444443,9.818181818181818,59.21463353768542,82.4397243393207,0.05233320593833923
SO,24.147727272727273,11.94324004729996,65.00605180835859,86.78706210347879,0.0373376491996977
SZ,10.714285714285714,4.397705544933078,76.90170552283836,93.24566084038499,0.011172996626959907
TG,21.019108280254777,8.754922750681612,61.18942261657677,87.13490398859584,0.049630701541900635
UR,19.858156028368796,8.722741433021806,69.67735255314784,87.85388267042127,0.04715364774068197
VS,21.38728323699422,9.46643717728055,62.241053965405214,83.74444281056769,0.06425985168008243
ZG,26.551724137931032,11.554524361948957,57.079044267903924,86.71516613718812,0.05438672304153443
ZH,18.22558459422283,8.21931196247068,68.23465994190776,88.62818723526661,0.0447517658273379
OVERALL,20.48660084626234,9.215673163719034,65.29507889084688,87.61887453580269,0.04822076896803404
