dialect,wer,cer,bleu
AG,40.04462204462205,17.62632197414806,38.275111906543096
BE,45.532134532134535,17.226061204343534,34.50951247022923
BL,59.82323232323232,28.30188679245283,33.69384983138521
GL,42.857142857142854,13.793103448275861,44.05136963304349
GR,81.53846153846153,28.92561983471074,34.85996012018029
LU,35.78347578347579,13.895216400911162,44.17780621616446
NW,80.0,31.03448275862069,10.390302174233558
SG,47.485014985014985,26.923076923076923,27.385085663738
SO,26.580086580086583,7.725321888412018,46.34311827357737
TG,51.14570614570615,19.893899204244033,24.171008603556473
UR,54.861111111111114,23.703703703703706,31.19817932489344
VS,66.25,26.82926829268293,12.485603175292674
ZG,43.88888888888889,11.05121293800539,36.83991637976237
ZH,39.53677275105847,18.39080459770115,39.63596689107411
OVERALL,45.94839604839606,19.22912205567452,34.80020664803254
