dialect,wer,cer,bleu
AG,36.35664335664335,13.748531139835487,49.972238496373635
BE,30.02690642690642,11.25370187561698,52.87006622749207
BL,45.24981962481963,21.440823327615778,40.60594633985474
GL,35.714285714285715,11.494252873563218,50.95172447616117
GR,65.38461538461539,23.96694214876033,28.74544935801139
LU,21.980056980056982,8.200455580865604,64.3881053608729
NW,70.0,31.03448275862069,8.450310992782928
SG,35.46714396714397,14.529914529914532,44.477560589807595
SO,23.852813852813853,6.866952789699571,44.50226354405567
TG,37.45624745624746,13.262599469496022,41.00479882411019
UR,36.111111111111114,12.592592592592592,36.028825563761174
VS,61.25,18.69918699186992,14.29090175585932
ZG,22.424242424242426,4.0431266846361185,59.309608046850414
ZH,35.69210551353409,16.436781609195403,43.49882254192509
OVERALL,34.83885003885005,13.390435403283368,47.29886570137294
