dialect,wer,cer,bleu,chrf,semdist
AG,26.378676470588236,12.628030597692208,57.4051469495405,85.08775713010746,0.056429585372960125
BE,30.01493280238925,15.30634028321355,54.02448059071681,82.50224487399761,0.06559760273970994
BL,26.923076923076923,13.040062843676356,54.005258242788905,84.19970356389493,0.0671905533031181
FR,37.03703703703704,20.833333333333336,32.92387129292857,76.5085943016443,0.0551488995552063
GL,2.083333333333333,0.7978723404255319,97.35502405308318,98.70456785167396,0.017198304335276287
GR,15.32258064516129,8.314855875831485,69.83809679158391,89.05066218120187,0.05039570232232412
LU,26.611226611226613,12.023289665211061,56.19880194038552,84.52386650148709,0.09300347724381615
NW,25.0,10.256410256410255,66.87403049764218,98.2363296511681,0.0038907527923583984
SG,28.02148612354521,14.450867052023122,52.98546538342073,83.55229986819539,0.04303109902760078
SH,35.55555555555556,15.636363636363637,39.78141822424554,75.17897489430794,0.06987151503562927
SO,30.39772727272727,15.884903429247144,54.7892799695554,84.74884513227752,0.03885891536871592
SZ,22.61904761904762,11.089866156787762,67.21911578530978,86.8397699407954,0.07234665420320299
TG,27.81316348195329,13.238412602241745,52.746629686738004,83.9851108467569,0.05215343952178955
UR,29.078014184397162,9.865005192107997,62.32880835500541,84.34768180077954,0.09227132002512614
VS,28.32369942196532,12.908777969018933,54.325582158287176,80.52871041127273,0.058721584432265335
ZG,37.93103448275862,18.88631090487239,43.352784994682395,81.29453494776548,0.055942676464716595
ZH,25.30949105914718,11.972243940578577,57.42225850266905,85.32703065987806,0.0536967898822493
OVERALL,27.856135401974612,13.667212731102271,55.15257061500132,83.96811108825919,0.05863477258596608
