dialect,wer,cer,bleu
AG,115.5128,453.9365,0.0122
BE,101.7143,322.0138,0.0083
BL,100.0000,360.7204,0.0000
GL,100.0000,497.7011,0.0000
GR,100.0000,531.4050,0.0000
LU,133.5185,465.6036,0.0000
NW,100.0000,505.7471,0.0000
SG,100.0000,369.9430,0.0000
SO,100.0000,398.2833,0.0000
TG,120.8333,477.7188,0.0000
UR,100.0000,263.7037,0.0000
VS,100.0000,689.4309,0.0000
ZG,100.0000,397.0350,0.0000
ZH,116.6667,413.4483,0.0000
OVERALL,108.3499,394.7181,0.0021
