dialect,wer,cer,bleu
AG,75.0726562532118,30.270338875491813,11.080548423620355
BE,85.17849282627607,38.36092945596216,7.782215715156149
BL,73.73109914776582,29.889771853370927,11.718840324512698
FR,74.93974279688565,37.765957446808514,8.680155831338121
GL,64.72222222222221,14.987080103359174,19.848193349260118
GR,65.90969215969217,28.21350762527233,11.785698969503668
LU,78.65157173980704,32.043255549231645,11.490924095880585
NW,75.0,17.5,21.3643503198117
SG,76.50817094782613,31.777582085796958,10.69227206834813
SH,69.41391941391942,28.52112676056338,12.22393432079293
SO,77.86879016045683,33.38485316846986,11.14798086698489
SZ,79.97662830996165,35.87360594795539,11.49754858383239
TG,74.15949050949051,29.249480866211808,11.817368926248225
UR,84.43460243460244,37.52535496957404,7.754274974926504
VS,73.69204325086677,31.060606060606062,10.779119527207712
ZG,83.02256077256078,34.409090909090914,10.917359140920341
ZH,74.37043088084755,29.334996641397176,12.701359281478329
OVERALL,77.95314605569531,32.61922686655102,10.63607783840893
