dialect,wer,cer,bleu
AG,28.903816309476685,11.685150121720314,53.54842454448186
BE,30.447327753152997,12.847503373819164,56.009622676889585
BL,33.48288684495581,15.70785392696348,48.64701926007237
FR,78.7878787878788,34.97942386831276,11.586343234691979
GL,23.859126984126984,5.797101449275362,63.0201696976099
GR,38.044871794871796,12.82051282051282,43.235634445088266
LU,30.2187235841082,12.04531902206321,52.972973680233835
NW,60.0,28.735632183908045,15.310245441182436
SG,31.19327688772133,14.779789246149688,50.78681145483096
SH,42.857142857142854,6.976744186046512,23.356898886410004
SO,36.22095497095498,19.083395942900076,49.11044947393631
SZ,16.666666666666664,4.059040590405904,73.06230250232336
TG,26.267012901628284,11.488250652741515,57.40879673478947
UR,43.06471306471306,13.513513513513514,37.902690907947886
VS,30.327380952380953,11.847389558232932,44.51803475597574
ZG,37.815184815184814,15.780730897009967,43.349444091742306
ZH,32.68125007708341,15.326538316345792,49.5855183848009
OVERALL,31.768741803464028,13.911203676154585,51.64134371714043
