dialect,wer,cer,bleu,chrf,semdist
AG,23.52941176470588,10.255412939193569,61.932780195691215,86.38519647826755,0.06289069382128892
BE,23.693379790940767,11.051021134277377,61.89351710888847,85.93934528786376,0.05418780446052551
BL,19.78021978021978,8.483896307934014,66.66269582598792,90.47184934612395,0.0516541235976749
FR,24.691358024691358,13.768115942028986,50.95727793645212,84.80244308708804,0.028743071215493337
GL,8.333333333333332,4.25531914893617,85.22139235597649,92.8170289608892,0.009749402602513632
GR,10.483870967741936,5.210643015521065,78.31813916395093,91.7598079742924,0.02745651702086131
LU,22.86902286902287,9.461426491994178,61.744050571834975,86.48883837832011,0.09299976743903815
NW,75.0,28.205128205128204,15.97357760615681,62.31055982214586,0.20588606595993042
SG,19.427036705461056,9.312780989081567,66.57733541909921,87.80449227843474,0.03421943095223657
SH,24.444444444444443,9.818181818181818,59.21463353768542,82.4397243393207,0.05233320593833923
SO,24.147727272727273,12.14032321639732,64.64165712890016,86.87217926522605,0.037873985038863286
SZ,14.285714285714285,5.927342256214149,75.53455669556948,91.78834046270427,0.018137819237179227
TG,21.443736730360936,8.664041199636474,61.361077808497996,87.60338395951759,0.04596164584159851
UR,14.184397163120568,5.815160955347872,73.67148864576662,89.346909221046,0.03221284548441569
VS,19.653179190751445,8.519793459552496,65.52786186904211,85.5227217406025,0.0657688344226164
ZG,27.586206896551722,12.064965197215777,54.758243569595834,85.74944177338867,0.050756676991780596
ZH,17.537826685006877,8.082486317435498,70.2673909567492,89.13349691732037,0.0458728244735135
OVERALL,21.215326751292903,9.631907993714687,64.9731393617435,87.41780864550822,0.050814505627644294
