dialect,wer,cer,bleu,chrf,semdist
AG,22.977941176470587,10.138726824841177,63.08732694968961,86.48934238359219,0.05629787124969341
BE,23.195619711299152,11.27161460186437,62.724367972800074,85.86550062459216,0.05672103401475352
BL,18.864468864468865,7.541241162608013,65.61295152422954,90.29971572326707,0.05070081132429617
FR,18.51851851851852,7.971014492753622,60.64966560845901,87.31297573188081,0.021620682307652066
GL,8.333333333333332,4.25531914893617,85.22139235597649,92.8170289608892,0.009749402602513632
GR,11.29032258064516,5.432372505543237,76.55742995337565,91.16191899073266,0.02940221627553304
LU,20.997920997921,9.024745269286754,65.13120594238929,87.63398323638597,0.08086988154579611
NW,25.0,10.256410256410255,66.87403049764218,98.2363296511681,0.0038907527923583984
SG,18.889883616830797,9.543994861913937,65.5646378765278,87.69313755586455,0.0373083070434373
SH,24.444444444444443,8.363636363636363,59.21463353768542,83.93860226228739,0.05080147087574005
SO,25.28409090909091,12.57390618841151,62.49134980579953,85.84278022283299,0.04564224183559418
SZ,14.285714285714285,5.927342256214149,75.53455669556948,91.78834046270427,0.018137819237179227
TG,21.019108280254777,8.997273553468647,60.46252446115294,86.96220162627505,0.053405681848526
UR,19.148936170212767,7.684319833852545,70.0408639757116,87.41635200304914,0.05075791279474894
VS,19.653179190751445,7.487091222030981,61.87177872140077,86.86305912393637,0.0646004501511069
ZG,31.379310344827587,13.08584686774942,52.2212457677026,85.1292449658683,0.05845219492912292
ZH,17.744154057771663,7.984753713838937,70.44667073049246,89.15525223335077,0.04425837306512727
OVERALL,20.992007522331924,9.611848483835377,65.0545839420891,87.39580172167348,0.05100494906358067
