timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/24 10:00:08.025, 6747, 97887, 33
2026/06/24 10:00:09.028, 6747, 97887, 0
2026/06/24 10:00:10.028, 6747, 97887, 0
2026/06/24 10:00:11.028, 6747, 97887, 0
2026/06/24 10:00:12.029, 6747, 97887, 0
2026/06/24 10:00:13.030, 6747, 97887, 0
2026/06/24 10:00:14.030, 6747, 97887, 0
2026/06/24 10:00:15.031, 6747, 97887, 0
2026/06/24 10:00:16.031, 6747, 97887, 0
2026/06/24 10:00:17.032, 6887, 97887, 0
2026/06/24 10:00:18.032, 65845, 97887, 10
2026/06/24 10:00:19.032, 78397, 97887, 100
2026/06/24 10:00:20.033, 90277, 97887, 100
2026/06/24 10:00:21.033, 91041, 97887, 94
2026/06/24 10:00:22.034, 91041, 97887, 97
2026/06/24 10:00:23.034, 91041, 97887, 100
2026/06/24 10:00:24.034, 91041, 97887, 75
2026/06/24 10:00:25.035, 91041, 97887, 100
2026/06/24 10:00:26.035, 91041, 97887, 100
2026/06/24 10:00:27.036, 91041, 97887, 100
2026/06/24 10:00:28.036, 91041, 97887, 97
2026/06/24 10:00:29.037, 91041, 97887, 100
2026/06/24 10:00:30.037, 91041, 97887, 69
2026/06/24 10:00:31.038, 91041, 97887, 100
2026/06/24 10:00:32.038, 91041, 97887, 100
2026/06/24 10:00:33.039, 91041, 97887, 100
2026/06/24 10:00:34.039, 91041, 97887, 97
2026/06/24 10:00:35.040, 91041, 97887, 100
2026/06/24 10:00:36.040, 91041, 97887, 90
2026/06/24 10:00:37.041, 91041, 97887, 100
2026/06/24 10:00:38.041, 91041, 97887, 100
2026/06/24 10:00:39.042, 91041, 97887, 97
2026/06/24 10:00:40.042, 91295, 97887, 100
2026/06/24 10:00:41.043, 91295, 97887, 70
2026/06/24 10:00:42.043, 91295, 97887, 100
2026/06/24 10:00:43.043, 91295, 97887, 100
2026/06/24 10:00:44.044, 91295, 97887, 100
2026/06/24 10:00:45.044, 91295, 97887, 97
2026/06/24 10:00:46.045, 91295, 97887, 100
2026/06/24 10:00:47.045, 91295, 97887, 90
2026/06/24 10:00:48.046, 91295, 97887, 100
2026/06/24 10:00:49.046, 91295, 97887, 100
2026/06/24 10:00:50.047, 91295, 97887, 93
2026/06/24 10:00:51.047, 91295, 97887, 97
2026/06/24 10:00:52.047, 91295, 97887, 100
2026/06/24 10:00:53.048, 91295, 97887, 90
2026/06/24 10:00:54.048, 91295, 97887, 100
2026/06/24 10:00:55.049, 91295, 97887, 100
2026/06/24 10:00:56.049, 91295, 97887, 93
2026/06/24 10:00:57.050, 91295, 97887, 100
2026/06/24 10:00:58.050, 91295, 97887, 79
2026/06/24 10:00:59.051, 91295, 97887, 100
2026/06/24 10:01:00.051, 91295, 97887, 100
2026/06/24 10:01:01.052, 91295, 97887, 100
2026/06/24 10:01:02.052, 91295, 97887, 92
2026/06/24 10:01:03.052, 91295, 97887, 100
2026/06/24 10:01:04.053, 91295, 97887, 78
2026/06/24 10:01:05.053, 91295, 97887, 100
2026/06/24 10:01:06.054, 91295, 97887, 100
2026/06/24 10:01:07.054, 91295, 97887, 100
2026/06/24 10:01:08.055, 91295, 97887, 91
2026/06/24 10:01:09.055, 91295, 97887, 100
2026/06/24 10:01:10.056, 91295, 97887, 72
2026/06/24 10:01:11.057, 91549, 97887, 100
2026/06/24 10:01:12.057, 91549, 97887, 100
2026/06/24 10:01:13.057, 91549, 97887, 100
2026/06/24 10:01:14.058, 91549, 97887, 91
2026/06/24 10:01:15.058, 91549, 97887, 100
2026/06/24 10:01:16.059, 91549, 97887, 74
2026/06/24 10:01:17.059, 91549, 97887, 100
2026/06/24 10:01:18.060, 91549, 97887, 100
2026/06/24 10:01:19.060, 91549, 97887, 100
2026/06/24 10:01:20.061, 91549, 97887, 97
2026/06/24 10:01:21.061, 91549, 97887, 100
2026/06/24 10:01:22.061, 91549, 97887, 67
2026/06/24 10:01:23.062, 91549, 97887, 100
2026/06/24 10:01:24.062, 91549, 97887, 100
2026/06/24 10:01:25.063, 91549, 97887, 100
2026/06/24 10:01:26.063, 91549, 97887, 91
2026/06/24 10:01:27.064, 91549, 97887, 100
2026/06/24 10:01:28.064, 91549, 97887, 73
2026/06/24 10:01:29.065, 91549, 97887, 100
2026/06/24 10:01:30.065, 91549, 97887, 100
2026/06/24 10:01:31.065, 91549, 97887, 100
2026/06/24 10:01:32.066, 91549, 97887, 97
2026/06/24 10:01:33.066, 91549, 97887, 100
2026/06/24 10:01:34.067, 91549, 97887, 85
2026/06/24 10:01:35.067, 91549, 97887, 100
2026/06/24 10:01:36.067, 91549, 97887, 100
2026/06/24 10:01:37.068, 91549, 97887, 93
2026/06/24 10:01:38.068, 91549, 97887, 100
2026/06/24 10:01:39.069, 91549, 97887, 100
2026/06/24 10:01:40.069, 91549, 97887, 96
2026/06/24 10:01:41.070, 91549, 97887, 100
2026/06/24 10:01:42.070, 91549, 97887, 100
2026/06/24 10:01:43.071, 91549, 97887, 93
2026/06/24 10:01:44.071, 91549, 97887, 100
2026/06/24 10:01:45.072, 91549, 97887, 87
2026/06/24 10:01:46.072, 91549, 97887, 100
2026/06/24 10:01:47.073, 91549, 97887, 100
2026/06/24 10:01:48.073, 91549, 97887, 100
2026/06/24 10:01:49.074, 91549, 97887, 93
2026/06/24 10:01:50.074, 91549, 97887, 100
2026/06/24 10:01:51.075, 91549, 97887, 77
2026/06/24 10:01:52.075, 91549, 97887, 100
2026/06/24 10:01:53.076, 91549, 97887, 100
2026/06/24 10:01:54.076, 91549, 97887, 100
2026/06/24 10:01:55.076, 91549, 97887, 91
2026/06/24 10:01:56.077, 91549, 97887, 100
2026/06/24 10:01:57.077, 92059, 97887, 71
2026/06/24 10:01:58.078, 92059, 97887, 100
2026/06/24 10:01:59.078, 92059, 97887, 100
2026/06/24 10:02:00.079, 92059, 97887, 100
2026/06/24 10:02:01.079, 92059, 97887, 100
2026/06/24 10:02:02.080, 92059, 97887, 86
2026/06/24 10:02:03.080, 92059, 97887, 100
2026/06/24 10:02:04.080, 92059, 97887, 100
2026/06/24 10:02:05.081, 92059, 97887, 100
2026/06/24 10:02:06.081, 92059, 97887, 0
2026/06/24 10:02:07.082, 92999, 97887, 90
2026/06/24 10:02:08.082, 93047, 97887, 60
2026/06/24 10:02:09.083, 93051, 97887, 100
2026/06/24 10:02:10.083, 93051, 97887, 100
2026/06/24 10:02:11.084, 93051, 97887, 74
2026/06/24 10:02:12.084, 93051, 97887, 100
2026/06/24 10:02:13.085, 93051, 97887, 94
2026/06/24 10:02:14.085, 93051, 97887, 72
2026/06/24 10:02:15.086, 93051, 97887, 100
2026/06/24 10:02:16.086, 93051, 97887, 100
2026/06/24 10:02:17.086, 93051, 97887, 73
2026/06/24 10:02:18.087, 93051, 97887, 100
2026/06/24 10:02:19.087, 93051, 97887, 93
2026/06/24 10:02:20.088, 93053, 97887, 71
2026/06/24 10:02:21.089, 93053, 97887, 100
2026/06/24 10:02:22.089, 93053, 97887, 100
2026/06/24 10:02:23.090, 93053, 97887, 72
2026/06/24 10:02:24.090, 93053, 97887, 100
2026/06/24 10:02:25.091, 93053, 97887, 100
2026/06/24 10:02:26.091, 93053, 97887, 100
2026/06/24 10:02:27.092, 93053, 97887, 73
2026/06/24 10:02:28.092, 93053, 97887, 100
2026/06/24 10:02:29.093, 93053, 97887, 94
2026/06/24 10:02:30.093, 93053, 97887, 71
2026/06/24 10:02:31.094, 93053, 97887, 100
2026/06/24 10:02:32.094, 93053, 97887, 100
2026/06/24 10:02:33.095, 93053, 97887, 72
2026/06/24 10:02:34.095, 93053, 97887, 100
2026/06/24 10:02:35.096, 93053, 97887, 100
2026/06/24 10:02:36.097, 93053, 97887, 70
2026/06/24 10:02:37.097, 93053, 97887, 100
2026/06/24 10:02:38.098, 93053, 97887, 100
2026/06/24 10:02:39.098, 93053, 97887, 72
2026/06/24 10:02:40.099, 93053, 97887, 100
2026/06/24 10:02:41.099, 93053, 97887, 95
2026/06/24 10:02:42.100, 93053, 97887, 71
2026/06/24 10:02:43.100, 93053, 97887, 100
2026/06/24 10:02:44.101, 93053, 97887, 95
2026/06/24 10:02:45.101, 93053, 97887, 72
2026/06/24 10:02:46.102, 93053, 97887, 100
2026/06/24 10:02:47.103, 93053, 97887, 95
2026/06/24 10:02:48.103, 93053, 97887, 73
2026/06/24 10:02:49.104, 93053, 97887, 100
2026/06/24 10:02:50.104, 93053, 97887, 94
2026/06/24 10:02:51.105, 93053, 97887, 71
2026/06/24 10:02:52.105, 93053, 97887, 100
2026/06/24 10:02:53.106, 93053, 97887, 100
2026/06/24 10:02:54.106, 93053, 97887, 72
2026/06/24 10:02:55.107, 93053, 97887, 99
2026/06/24 10:02:56.107, 93053, 97887, 100
2026/06/24 10:02:57.108, 93053, 97887, 73
2026/06/24 10:02:58.109, 93053, 97887, 100
2026/06/24 10:02:59.109, 93053, 97887, 100
2026/06/24 10:03:00.110, 93053, 97887, 71
2026/06/24 10:03:01.110, 93053, 97887, 100
2026/06/24 10:03:02.111, 93053, 97887, 100
2026/06/24 10:03:03.111, 93053, 97887, 80
2026/06/24 10:03:04.112, 93053, 97887, 91
2026/06/24 10:03:05.112, 93053, 97887, 100
2026/06/24 10:03:06.113, 93053, 97887, 72
2026/06/24 10:03:07.114, 93053, 97887, 99
