timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/26 09:55:35.942, 6747, 97887, 12
2026/06/26 09:55:36.944, 6747, 97887, 0
2026/06/26 09:55:37.944, 6747, 97887, 0
2026/06/26 09:55:38.945, 6747, 97887, 0
2026/06/26 09:55:39.945, 6747, 97887, 0
2026/06/26 09:55:40.946, 6747, 97887, 0
2026/06/26 09:55:41.946, 6747, 97887, 0
2026/06/26 09:55:42.947, 6747, 97887, 0
2026/06/26 09:55:43.947, 6747, 97887, 0
2026/06/26 09:55:44.948, 7645, 97887, 0
2026/06/26 09:55:45.949, 66199, 97887, 12
2026/06/26 09:55:46.950, 78821, 97887, 100
2026/06/26 09:55:47.950, 90277, 97887, 94
2026/06/26 09:55:48.951, 91041, 97887, 100
2026/06/26 09:55:49.951, 91041, 97887, 68
2026/06/26 09:55:50.952, 91041, 97887, 100
2026/06/26 09:55:51.952, 91041, 97887, 100
2026/06/26 09:55:52.953, 91041, 97887, 100
2026/06/26 09:55:53.953, 91041, 97887, 93
2026/06/26 09:55:54.954, 91041, 97887, 100
2026/06/26 09:55:55.954, 91041, 97887, 99
2026/06/26 09:55:56.955, 91041, 97887, 91
2026/06/26 09:55:57.955, 91041, 97887, 100
2026/06/26 09:55:58.956, 91041, 97887, 100
2026/06/26 09:55:59.956, 91041, 97887, 94
2026/06/26 09:56:00.956, 91041, 97887, 100
2026/06/26 09:56:01.957, 91041, 97887, 99
2026/06/26 09:56:02.959, 91041, 97887, 96
2026/06/26 09:56:03.960, 91041, 97887, 100
2026/06/26 09:56:04.960, 91041, 97887, 100
2026/06/26 09:56:05.961, 91041, 97887, 94
2026/06/26 09:56:06.961, 91041, 97887, 100
2026/06/26 09:56:07.962, 91295, 97887, 96
2026/06/26 09:56:08.962, 91295, 97887, 100
2026/06/26 09:56:09.963, 91295, 97887, 100
2026/06/26 09:56:10.963, 91295, 97887, 100
2026/06/26 09:56:11.964, 91295, 97887, 93
2026/06/26 09:56:12.964, 91295, 97887, 100
2026/06/26 09:56:13.965, 91295, 97887, 73
2026/06/26 09:56:14.965, 91295, 97887, 100
2026/06/26 09:56:15.966, 91295, 97887, 100
2026/06/26 09:56:16.966, 91295, 97887, 100
2026/06/26 09:56:17.967, 91295, 97887, 97
