epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_wer,eval_wer_AG,eval_wer_BE,eval_wer_BL,eval_wer_FR,eval_wer_GL,eval_wer_GR,eval_wer_LU,eval_wer_NW,eval_wer_SG,eval_wer_SH,eval_wer_SO,eval_wer_SZ,eval_wer_TG,eval_wer_UR,eval_wer_VS,eval_wer_ZG,eval_wer_ZH,grad_norm,learning_rate,loss,step
0.0992063492063492,,,,,,,,,,,,,,,,,,,,,,,6.765923023223877,4.800000000000001e-06,0.8494,25
0.1984126984126984,,,,,,,,,,,,,,,,,,,,,,,8.14006519317627,9.800000000000001e-06,0.5145,50
0.2976190476190476,,,,,,,,,,,,,,,,,,,,,,,4.851794242858887,9.801652892561985e-06,0.544,75
0.3968253968253968,,,,,,,,,,,,,,,,,,,,,,,5.207301139831543,9.59504132231405e-06,0.5404,100
0.49603174603174605,,,,,,,,,,,,,,,,,,,,,,,7.710875511169434,9.388429752066116e-06,0.5435,125
0.49603174603174605,0.41393542289733887,82.9682,10.39,0.651,0.2456793086893903,0.2617000955109838,0.27865511971472234,0.27472527472527475,0.2911392405063291,0.208955223880597,0.19047619047619047,0.19387755102040816,0.2222222222222222,0.21339285714285713,0.2926829268292683,0.2570621468926554,0.14102564102564102,0.28348214285714285,0.2671232876712329,0.36,0.18032786885245902,0.21236363636363637,,,,125
0.5952380952380952,,,,,,,,,,,,,,,,,,,,,,,8.302033424377441,9.181818181818184e-06,0.5375,150
0.6944444444444444,,,,,,,,,,,,,,,,,,,,,,,4.883009910583496,8.97520661157025e-06,0.5811,175
0.7936507936507936,,,,,,,,,,,,,,,,,,,,,,,5.276798725128174,8.768595041322315e-06,0.551,200
0.8928571428571429,,,,,,,,,,,,,,,,,,,,,,,9.122828483581543,8.56198347107438e-06,0.5465,225
0.9920634920634921,,,,,,,,,,,,,,,,,,,,,,,5.467767715454102,8.355371900826446e-06,0.5402,250
0.9920634920634921,0.38271528482437134,84.0659,10.254,0.642,0.2255160825732117,0.24737344794651384,0.24859908303616912,0.2454212454212454,0.25316455696202533,0.22388059701492538,0.19047619047619047,0.19387755102040816,0.2222222222222222,0.19285714285714287,0.21951219512195122,0.2344632768361582,0.20512820512820512,0.25892857142857145,0.23972602739726026,0.3333333333333333,0.19344262295081968,0.1890909090909091,,,,250
1.0912698412698412,,,,,,,,,,,,,,,,,,,,,,,4.584383487701416,8.148760330578514e-06,0.3655,275
1.1904761904761905,,,,,,,,,,,,,,,,,,,,,,,5.486258029937744,7.94214876033058e-06,0.3459,300
1.2896825396825398,,,,,,,,,,,,,,,,,,,,,,,4.413188457489014,7.735537190082645e-06,0.3646,325
1.3888888888888888,,,,,,,,,,,,,,,,,,,,,,,4.077027797698975,7.528925619834712e-06,0.3464,350
1.4880952380952381,,,,,,,,,,,,,,,,,,,,,,,4.2506937980651855,7.322314049586778e-06,0.4015,375
1.4880952380952381,0.38201114535331726,83.3162,10.346,0.648,0.22395583293326932,0.24450811843361986,0.24961793173713703,0.2600732600732601,0.24050632911392406,0.19402985074626866,0.21904761904761905,0.20408163265306123,0.2222222222222222,0.19017857142857142,0.24390243902439024,0.2062146892655367,0.1794871794871795,0.24776785714285715,0.2602739726027397,0.3466666666666667,0.18688524590163935,0.18254545454545454,,,,375
1.5873015873015874,,,,,,,,,,,,,,,,,,,,,,,4.218957901000977,7.115702479338844e-06,0.3662,400
1.6865079365079365,,,,,,,,,,,,,,,,,,,,,,,4.114839553833008,6.90909090909091e-06,0.3686,425
1.7857142857142856,,,,,,,,,,,,,,,,,,,,,,,4.998729705810547,6.702479338842976e-06,0.3951,450
1.8849206349206349,,,,,,,,,,,,,,,,,,,,,,,5.431414604187012,6.495867768595042e-06,0.3879,475
1.9841269841269842,,,,,,,,,,,,,,,,,,,,,,,4.628006935119629,6.289256198347108e-06,0.3678,500
1.9841269841269842,0.38221508264541626,82.7939,10.411,0.652,0.22383581373019684,0.2511938872970392,0.2475802343352012,0.24175824175824176,0.26582278481012656,0.19402985074626866,0.2,0.1816326530612245,0.16666666666666666,0.19553571428571428,0.34146341463414637,0.22033898305084745,0.21794871794871795,0.24107142857142858,0.2602739726027397,0.3466666666666667,0.19344262295081968,0.18327272727272728,,,,500
2.0833333333333335,,,,,,,,,,,,,,,,,,,,,,,4.284059524536133,6.082644628099174e-06,0.2775,525
2.1825396825396823,,,,,,,,,,,,,,,,,,,,,,,4.279739856719971,5.87603305785124e-06,0.2574,550
2.2817460317460316,,,,,,,,,,,,,,,,,,,,,,,4.348455429077148,5.669421487603306e-06,0.2617,575
2.380952380952381,,,,,,,,,,,,,,,,,,,,,,,3.8287293910980225,5.4628099173553726e-06,0.2571,600
2.4801587301587302,,,,,,,,,,,,,,,,,,,,,,,9.844529151916504,5.256198347107438e-06,0.275,625
