epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_wer,eval_wer_AG,eval_wer_BE,eval_wer_BL,eval_wer_FR,eval_wer_GL,eval_wer_GR,eval_wer_LU,eval_wer_NW,eval_wer_SG,eval_wer_SH,eval_wer_SO,eval_wer_SZ,eval_wer_TG,eval_wer_UR,eval_wer_VS,eval_wer_ZG,eval_wer_ZH,grad_norm,learning_rate,loss,step
0.0992063492063492,,,,,,,,,,,,,,,,,,,,,,,34.94466781616211,4.800000000000001e-06,0.8393,25
0.1984126984126984,,,,,,,,,,,,,,,,,,,,,,,4.332656383514404,9.800000000000001e-06,0.4782,50
0.2976190476190476,,,,,,,,,,,,,,,,,,,,,,,4.213979244232178,9.801652892561985e-06,0.4746,75
0.3968253968253968,,,,,,,,,,,,,,,,,,,,,,,4.655919551849365,9.59504132231405e-06,0.4616,100
0.49603174603174605,,,,,,,,,,,,,,,,,,,,,,,7.883657455444336,9.388429752066116e-06,0.4531,125
0.49603174603174605,0.42237478494644165,82.9749,10.389,0.651,0.25468074891982717,0.2636103151862464,0.2862964849719817,0.27106227106227104,0.24050632911392406,0.22388059701492538,0.17142857142857143,0.2163265306122449,0.2222222222222222,0.21517857142857144,0.2682926829268293,0.2740112994350282,0.15384615384615385,0.28348214285714285,0.273972602739726,0.4266666666666667,0.21639344262295082,0.2298181818181818,,,,125
0.5952380952380952,,,,,,,,,,,,,,,,,,,,,,,4.3315629959106445,9.181818181818184e-06,0.4295,150
0.6944444444444444,,,,,,,,,,,,,,,,,,,,,,,4.598519325256348,8.97520661157025e-06,0.4678,175
0.7936507936507936,,,,,,,,,,,,,,,,,,,,,,,5.121399402618408,8.768595041322315e-06,0.4421,200
0.8928571428571429,,,,,,,,,,,,,,,,,,,,,,,3.652944564819336,8.56198347107438e-06,0.4319,225
0.9920634920634921,,,,,,,,,,,,,,,,,,,,,,,5.164908409118652,8.355371900826446e-06,0.4246,250
0.9920634920634921,0.39312195777893066,83.6928,10.3,0.645,0.23355736917906866,0.25405921680993315,0.2562404482934284,0.2564102564102564,0.22784810126582278,0.2537313432835821,0.2,0.22244897959183674,0.2777777777777778,0.20892857142857144,0.24390243902439024,0.2514124293785311,0.20512820512820512,0.24107142857142858,0.2328767123287671,0.3466666666666667,0.21311475409836064,0.18836363636363637,,,,250
1.0912698412698412,,,,,,,,,,,,,,,,,,,,,,,6.538613796234131,8.148760330578514e-06,0.2382,275
1.1904761904761905,,,,,,,,,,,,,,,,,,,,,,,4.371481418609619,7.94214876033058e-06,0.2361,300
1.2896825396825398,,,,,,,,,,,,,,,,,,,,,,,3.772568464279175,7.735537190082645e-06,0.2389,325
1.3888888888888888,,,,,,,,,,,,,,,,,,,,,,,3.3811142444610596,7.528925619834712e-06,0.2117,350
1.4880952380952381,,,,,,,,,,,,,,,,,,,,,,,4.250729084014893,7.322314049586778e-06,0.2599,375
1.4880952380952381,0.39492499828338623,85.4439,10.088,0.632,0.22923667786845894,0.23973256924546324,0.24961793173713703,0.25824175824175827,0.21518987341772153,0.19402985074626866,0.18095238095238095,0.21224489795918366,0.2777777777777778,0.20625,0.1951219512195122,0.2288135593220339,0.20512820512820512,0.25892857142857145,0.2602739726027397,0.3333333333333333,0.19672131147540983,0.19636363636363635,,,,375
1.5873015873015874,,,,,,,,,,,,,,,,,,,,,,,4.00568151473999,7.115702479338844e-06,0.2192,400
1.6865079365079365,,,,,,,,,,,,,,,,,,,,,,,7.752826690673828,6.90909090909091e-06,0.2359,425
1.7857142857142856,,,,,,,,,,,,,,,,,,,,,,,2.7406411170959473,6.702479338842976e-06,0.2487,450
1.8849206349206349,,,,,,,,,,,,,,,,,,,,,,,4.234387397766113,6.495867768595042e-06,0.2419,475
1.9841269841269842,,,,,,,,,,,,,,,,,,,,,,,3.9738848209381104,6.289256198347108e-06,0.2263,500
1.9841269841269842,0.3938855826854706,86.2724,9.992,0.626,0.22959673547767642,0.24450811843361986,0.2643912379011717,0.24175824175824176,0.22784810126582278,0.19402985074626866,0.17142857142857143,0.19183673469387755,0.2222222222222222,0.20267857142857143,0.34146341463414637,0.2542372881355932,0.2692307692307692,0.24553571428571427,0.273972602739726,0.38,0.17704918032786884,0.1789090909090909,,,,500
2.0833333333333335,,,,,,,,,,,,,,,,,,,,,,,2.5911569595336914,6.082644628099174e-06,0.1379,525
2.1825396825396823,,,,,,,,,,,,,,,,,,,,,,,2.6897873878479004,5.87603305785124e-06,0.1223,550
2.2817460317460316,,,,,,,,,,,,,,,,,,,,,,,2.7539572715759277,5.669421487603306e-06,0.1299,575
2.380952380952381,,,,,,,,,,,,,,,,,,,,,,,2.374474048614502,5.4628099173553726e-06,0.1148,600
2.4801587301587302,,,,,,,,,,,,,,,,,,,,,,,3.602844476699829,5.256198347107438e-06,0.1331,625
2.4801587301587302,0.40821507573127747,84.8602,10.158,0.636,0.23475756120979357,0.2607449856733524,0.26133469179826796,0.24358974358974358,0.31645569620253167,0.23880597014925373,0.19047619047619047,0.21020408163265306,0.2777777777777778,0.19642857142857142,0.21951219512195122,0.22033898305084745,0.2948717948717949,0.2700892857142857,0.2808219178082192,0.38666666666666666,0.19344262295081968,0.18836363636363637,,,,625
2.5793650793650795,,,,,,,,,,,,,,,,,,,,,,,4.016734600067139,5.049586776859504e-06,0.1319,650
2.678571428571429,,,,,,,,,,,,,,,,,,,,,,,1.828426718711853,4.842975206611571e-06,0.1261,675
2.7777777777777777,,,,,,,,,,,,,,,,,,,,,,,3.123122215270996,4.636363636363636e-06,0.1207,700
2.876984126984127,,,,,,,,,,,,,,,,,,,,,,,4.6889424324035645,4.429752066115703e-06,0.1168,725
2.9761904761904763,,,,,,,,,,,,,,,,,,,,,,,3.397357225418091,4.2231404958677695e-06,0.1158,750
2.9761904761904763,0.4003198742866516,84.7631,10.17,0.637,0.22503600576092175,0.24355300859598855,0.2475802343352012,0.23992673992673993,0.25316455696202533,0.208955223880597,0.22857142857142856,0.18979591836734694,0.05555555555555555,0.19642857142857142,0.21951219512195122,0.2457627118644068,0.20512820512820512,0.24553571428571427,0.2602739726027397,0.2733333333333333,0.1901639344262295,0.1978181818181818,,,,750
3.0753968253968256,,,,,,,,,,,,,,,,,,,,,,,3.018406629562378,4.016528925619834e-06,0.099,775
3.1746031746031744,,,,,,,,,,,,,,,,,,,,,,,2.1471831798553467,3.809917355371901e-06,0.0788,800
3.2738095238095237,,,,,,,,,,,,,,,,,,,,,,,3.449721336364746,3.603305785123967e-06,0.0722,825
3.373015873015873,,,,,,,,,,,,,,,,,,,,,,,1.7696877717971802,3.3966942148760337e-06,0.075,850
3.4722222222222223,,,,,,,,,,,,,,,,,,,,,,,3.204951763153076,3.1900826446281e-06,0.0674,875
